,SHAP Zero: Frameshift frequency,SHAP Zero: Highest 1-bp insertion,Linear: Frameshift frequency,Pairwise: Frameshift frequency,Linear: Highest 1-bp insertion,Pairwise: Highest 1-bp insertion,Model: Frameshift frequency,Model: Highest 1-bp insertion
0,81.06974746698873,23.47122312650405,77.49230386829021,74.42314192688293,26.624978976901602,23.75272092010233,74.42810029494728,23.233114189154193
1,75.6192058814734,22.555455450090953,73.26381647667044,82.67394467310015,25.14833598922781,21.241124742813426,78.3465885767971,21.582735235766055
2,90.0505036813436,37.43303287099697,75.2573631446937,74.10494892604655,34.39071510605794,31.705885018054328,85.17035670559885,38.122096320358196
3,75.69273268332047,40.1698458515606,83.76544849406699,90.78226576909552,37.518951375074494,37.292019308270994,78.07709573088957,42.90871249878044
4,26.70274171223225,5.708723449024387,66.28561111484865,65.89423608999903,6.509642006407581,2.7563228892320466,30.06580031687632,5.04737805403661
5,51.82844054906915,14.221874384967366,74.839039792064,68.32715160304936,13.538461877317722,9.67631864336641,63.673844344238844,12.962624871340594
6,46.10796500201021,15.372760073799553,73.88785744586264,64.65270550452146,16.27628174421978,17.151659266190126,43.63319436432158,13.895993668003626
7,51.343676539031314,2.7276246092600713,70.28397434903708,59.081251759487294,-1.5872439137920935,3.4273513421792994,44.70769753125234,3.0593419110752076
8,81.22910010997313,12.9141943215841,81.7647870229456,83.27156396055281,12.961888952794995,13.820832294925625,79.94738859094892,9.140412544236142
9,93.36841764109184,41.321286094962566,88.03111465703294,90.17461034003378,37.8855124826694,37.001000572406774,90.19915534775842,36.958202793119085
10,87.57405177551563,15.192944945515242,77.5214112593438,83.40558412239545,16.132917466307664,14.98139555680309,89.22390105935636,14.61353322634883
11,69.03675358377617,1.9205783383883384,67.2275403576153,72.87661166120125,10.074562863848056,9.709204059279436,64.33998444740288,2.322410136406779
12,88.7277888774328,23.085762879719578,76.95270589788576,87.9488742268648,25.217942038966907,22.741937907408207,88.52107603736779,23.88015830266836
13,79.09751796226989,2.5473522665036725,70.80794714841446,75.00552676912343,-1.1245432506667967,5.651766415720157,67.67558698896934,2.8519649770871056
14,74.97046452485121,0.8463666728766412,78.02718913502288,76.62116791740831,-1.3954568873443165,2.5747844249731884,78.43758530695692,2.3308228937040205
15,86.68027040696438,2.9434877986619665,75.41638804449522,82.90626608768008,-1.4332678011514588,2.775611186824376,82.44742286029584,2.874459469001361
16,94.90019104006788,18.08148681963005,68.68541386215388,77.93055829392874,17.07080979439415,15.736794442000127,93.94374355114552,16.639450893203772
17,90.83569292861469,22.63270950244977,89.31124127998869,85.18518883557864,23.304786357412663,20.744482520627727,89.87006721496826,22.81600917180503
18,101.00427205899277,23.848338472434964,80.76546564526602,95.70685184404155,22.647707223371235,15.701675019231393,95.98573950666385,26.368741471999734
19,79.21820303822412,39.32811541998454,95.19602345387095,96.53609656233915,35.721168821491226,35.884085700404874,74.4451888354516,38.59747321898483
20,83.55957130194133,0.9606774186974968,77.53421732244608,85.68922626057206,3.524493212341497,5.7220328617057135,82.20566813492857,1.3366040500246417
21,73.24614489113502,35.075862700614145,82.04576469356634,74.47592322306234,31.350127020255265,29.51393603370943,69.80884873151504,33.88744605772796
22,48.11145972219122,3.7924515044446463,69.8243522402459,71.504732667828,6.756422074612228,9.246079776264109,51.05757732238028,4.1264450052443165
23,61.914938730505895,4.283861881122105,68.08550034778135,67.33843695579819,4.987408323938217,5.4792726962233615,52.65385575801788,4.0278544961576745
24,67.03935686897654,15.474881325285576,70.20138127077804,74.81444532671624,15.455362615300512,15.422592283590994,68.18454958847555,17.346680195420834
25,50.72624269472278,3.7298531739464256,68.00496148645415,52.19505562906106,5.615084578103987,4.634859080568161,43.48897301153458,4.11490580735669
26,74.28978442396803,3.865067612467176,67.31205249909486,75.35521216045069,4.163987723869507,7.411421510961697,66.87877152456697,4.288248971439967
27,47.51175424373314,2.442387905495305,76.28252175206019,61.14548105999657,10.373603690069396,10.301984734077756,46.96630351274754,3.7391651938830752
28,69.22513077207864,1.7315799128015712,67.69675457291984,70.00869595095459,4.49332314758359,4.126213451693491,72.25583667198921,1.3521290042202692
29,73.06920802471504,22.35270356458868,84.97695491036106,85.4772415320289,23.423694315451822,23.934425870719892,76.13198336792652,21.859306127306535
30,72.55490679615751,2.0502794279237677,66.35005655945979,65.76315126293795,-3.7194841763289825,2.470915425238396,70.83238871709293,1.5982658466506916
31,81.31306545951993,1.6009414556166206,72.62184030945465,76.44022487632255,4.369275010721537,5.158414272625451,74.81935364112378,1.3515868397367792
32,63.077634552359925,2.9105274365896388,70.86858209459291,72.11486783511342,7.587667548717041,10.060471240475774,77.56465550609012,3.783767391720269
33,73.7256707581831,2.624594848859473,76.01781787806716,65.7926023811632,-2.5555772220585737,1.189105274085275,73.92266079588212,3.037764958073436
34,71.15718510703658,1.128602866719563,68.54128140929978,63.52213812231869,4.951579942803488,7.284073448692579,62.412741642385065,1.3370709486527774
35,73.76495599635226,3.640573919367736,73.51999937185984,79.64465113828042,6.1540312420341134,2.3826696939980216,72.19039880533066,4.046647072741772
36,66.73221833293945,1.8621005714702792,70.84815825020165,64.26543154875219,-4.6349899761076125,1.6533570636454424,71.44239515229462,1.633033402139374
37,83.67982797666477,24.964802413226096,81.82766846260036,86.96930575511581,27.76392615277038,27.726923621979985,83.17656761812509,25.657143704389902
38,72.82346554340108,3.4184866958172577,74.8497211203641,56.573252650625385,5.1269863642496345,6.2837021855499975,70.89406048851903,3.0978112171885264
39,78.00440339213223,37.298381513551455,75.7555308359862,80.07929289884454,32.90835824596281,33.153795728520684,77.0789700569496,37.93420367793675
40,62.59017969089128,25.077887551616502,70.3651523134427,65.96702312050904,26.80003548147597,24.77391749513068,61.55874920949937,25.444415554456363
41,62.96888716136021,2.7320157669408798,79.52002160938042,69.674690006782,7.19847587428534,5.813761044548338,63.598943398867064,2.4610104806514537
42,81.75328650895787,18.834365497258364,72.99314463958378,63.29559943372064,18.161752563520785,20.160001775155333,74.41609718545338,17.44495722451134
43,86.34360256245024,23.121125486628603,78.52518084872081,63.8169932507339,26.77947978103282,23.689664808263306,82.25750141017164,24.448925679610625
44,61.625031123483325,16.283009971378707,71.30770080324578,68.86091100457621,18.666396456583733,14.122114197082613,70.81456511727006,14.66919496970248
45,89.73033817222071,25.427597150824827,84.62981127856007,85.99287517220581,26.33829565253817,23.229734661400556,86.88251078462095,25.68821903304121
46,74.25779745573746,3.086756163485377,70.70536907002862,67.57085176325414,-2.375581771520292,2.6412609825877045,74.18910816132515,3.20063588365063
47,65.4960329080558,14.807004596440565,74.6513131237848,65.59567150408543,17.086428611546882,15.992807087867273,62.965782674099536,14.496136301740975
48,81.96669765479456,25.03323258061423,74.09801185738827,83.15130912004709,25.279406724385343,21.77554029191239,80.68674113894966,25.74305623805051
49,68.72999096228399,22.685003691916638,85.20089973537583,85.69535895438695,24.69415199691465,25.797223714607725,68.30733261765107,22.839664743588607
50,83.71754716980679,6.453623818686975,72.0121010428132,70.14727321991393,5.480112108047427,6.871067577986053,77.30840070660501,7.080053827584522
51,72.43219043612655,24.966829488618828,71.38575649014928,74.95675125835507,25.88825734779601,25.3881400550247,76.98050229613396,24.180478748152957
52,76.91910785599744,14.631689508801019,79.94680202052606,99.80158138874178,16.86312531948378,18.39607160530136,84.39405198188813,14.543392200324684
53,76.85358068875857,18.832239390627148,83.42166033866859,76.42714228544322,17.357780039459552,15.562521271445082,79.05060453037325,16.812210617764535
54,75.35385310897904,7.170433424983302,67.6649689418726,70.1591037571582,8.182072244276585,4.176701376657785,77.43573826575964,7.067958453415592
55,63.610049071647815,6.712625907587991,67.76741716757903,57.7732226771106,6.662260720871372,5.933792068029423,68.25287763402008,7.09703456401484
56,48.88349071503589,2.103326909865606,59.6274894042785,48.324302474555246,4.029366589383107,8.067064261677519,53.928889781813005,1.3394182295950638
57,70.94495559456405,4.426408592017234,70.07474566149298,76.32964329830311,4.025102498801917,2.9084426688807934,54.75284511091674,3.3181443696664217
58,56.61015173500921,4.736295529073597,75.66046431327065,56.863019105461646,3.648548447876733,6.939810407377095,51.1880844241983,3.1116786097465883
59,73.79666727153894,23.18589726808484,81.10166397347145,75.74056007454956,25.02814493234163,26.046127239873552,77.44271248045317,22.823607742859235
60,67.50446855322016,1.0351371625248191,66.7208791037323,70.63597378430805,5.5295515744405765,5.198909585994123,66.99934066619058,1.344736976209675
61,66.71035175290568,17.38339527004051,74.74127136235724,63.70559327301174,16.853237672542402,16.40083271243132,61.77505872842275,16.55686570018868
62,74.02824304187936,3.0787079437718354,66.55955750242276,55.66662772088307,9.203233248008424,11.969590185282051,75.22597467282738,2.4693236984485676
63,31.50622181147789,3.844329433500645,62.83425335586088,59.40175558959804,11.59125182664065,8.923165948698207,44.57586229790962,2.3676038379549946
64,80.10141478290859,25.472514434445987,68.66514840125882,62.85209341620639,26.6356009705055,24.281566206900283,83.4212184116103,24.561538532403446
65,77.69508308715672,23.730362759835078,82.25026946409363,85.84511402488306,26.241322584339905,26.823844409263252,79.47435700561459,23.47232268070225
66,82.39690088013172,24.152258112545084,74.77730264850995,85.56198178499254,25.27249011413442,23.955055892027215,80.97870902550466,29.367546106795206
67,75.09630042398413,3.6172814819871815,74.18096617675948,60.79887151254282,4.14840184753435,5.944075655165749,69.75430729283178,4.2036846932284755
68,75.70459783212051,2.36748679575107,74.47645629089506,67.6673882143094,9.93228772723984,9.511335571856463,77.07471543934273,2.3170649196129656
69,77.94757561069835,2.104639622304433,70.76146730893895,60.57033665254135,10.586619434906089,9.176645510894552,81.9458446653031,2.4201896866004162
70,84.94178359043326,23.43490413133379,83.30998659461466,86.82314576711184,24.26819446851406,22.696524773227743,80.34299739927326,26.238267767208306
71,66.03758851122272,2.7844358942951017,70.0775151509165,77.1738017448,9.873558273884283,10.48244316946769,62.08290881177935,2.304761192158421
72,77.00053912400988,4.358925611596712,75.71651522389755,66.11921895110194,4.973229736578767,9.7780837460589,76.44413367724562,4.229405995757937
73,73.70084822852476,6.865511453376313,63.338898864249074,64.14043457356397,6.555637743797963,5.705031118714842,71.4462995955706,7.252865570964594
74,73.63389203045539,6.7689945314531625,76.25722875658748,70.71451428416867,6.940876409350808,4.958390729301323,65.97950384172972,7.227094571194895
75,75.03765359129264,6.719135065525174,72.03966024783186,69.48354222174643,5.227426010763322,5.99674798801871,77.5144666144698,7.078289428674976
76,87.118108501103,17.449057778893863,85.12602603128983,77.37508884670194,18.26709425047768,18.734535828749195,86.90838855769316,12.76708099508169
77,39.30411658837475,36.13308351664558,88.18395786400396,83.1731236520938,30.42652117967602,32.16692169020068,52.260060717463126,33.10947445119269
78,94.97083179418726,38.049436571928204,73.50227105265647,81.91307421863492,32.25477775585762,34.285432908337924,92.79149017952709,39.57153700778156
79,69.47178443777044,37.578555007173854,83.8709327496422,79.7437445329687,31.946703895880102,30.90915384974354,73.51714523018677,38.016995441347966
80,86.56267817718495,34.01870554565242,86.8149755438355,94.16303334781786,28.220782831808673,29.402565920968605,86.24697256004552,33.962731072313915
81,74.3866388860277,24.973510783489505,81.53736643710333,82.6311557660066,25.573229267104622,26.334442437753328,73.71550923842847,25.764016518160926
82,79.85406422130866,18.51659763244384,72.46069593681695,82.68921653241728,17.56438388396426,19.76427978312989,76.3898785313483,21.721518948014303
83,86.14739000036137,25.1947895203946,75.54554548802876,80.5115280208753,25.636269244783982,23.905880077423028,60.76820698733926,24.86864920037741
